id,gender,ethnicity,major,top,topOut1,topOut2,topOut3,topOut4,topOut5,topOut6,topOut7,topOut8,ae1,ae2,ae3,ae4,ae5,ae6,ae7,ae8,ae9,ae10,ae11,ae12,ae13,ae14,ae15,ae16,ae17,ae18,ae19,ae20,ae21,ae22,ae23,ae24,ae25,ae26,ae27,ae28,grit1,grit2,grit3,grit4,grit5,grit6,grit7,grit8,allReason1,allReason2,allReason3,allReason4,allReason5,allReason6,allReason7,allReason8,allReason9,allReason10,allReason11,allReason12,allReason13,allReason14
1,Man,White,CV,,,,,,,,,,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,
2,Man,White,Bldg,,,,,,,,,,4,1,4,4,1,1,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,
3,Man,Asian,Bldg,20_Other,1,1,1,1,1,1,1,1,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,2,2,3,3,2,3,3,3,3,3,3,,,,,,,,,3,3,3,2,3,2,2,2,3,3,2,2,3,3
4,Man,White,Bldg,12_Military,4,4,4,4,4,4,4,4,4,1,4,4,1,1,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,4,4,4,4,4,1,4,4,4,4,4,4,4,1
5,Man,White,CV,12_Military,4,3,4,4,4,4,4,4,4,1,4,4,1,1,1,4,1,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,3,2,,,,,,,,,3,3,3,4,3,2,2,2,4,2,2,3,4,1
6,Woman,White,CV,2_Culture,2,3,4,3,4,4,2,3,4,1,4,4,1,1,1,4,1,4,3,3,3,4,3,2,3,2,3,3,3,3,4,4,3,3,3,3,,,,,,,,,3,3,3,4,2,3,3,1,3,1,1,3,2,2
7,Man,White,CV,9_Job,3,4,4,4,4,4,4,3,4,1,4,4,1,1,1,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,1,2,2,3,2,3,4,1,4,4,1,1,3,1
8,Woman,Hispanic,CV,12_Military,4,4,4,4,4,4,4,4,4,1,4,4,1,1,1,3,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,4,4,4,4,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4
9,Man,White,Bldg,2_Culture,2,2,4,2,3,4,2,3,4,1,4,4,1,1,1,4,1,4,4,4,4,4,3,3,3,4,4,3,4,4,4,4,4,4,4,4,,,,,,,,,3,3,4,4,1,1,3,1,3,2,3,4,3,3
10,Man,White,Bldg,18_Sports,3,3,4,3,4,3,3,3,4,2,3,3,2,2,2,3,2,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,3,3,2,4,2,2,3,2,4,3,3,4,3,2
